response,empathy_score
Do you believe that you could help someone else? ,no
Do you carry the weight of having the obligation to be the saviour of someon else?,no
That makes perfect sense. I will now ask you a few questions to help give me deeper clarity on your state of mind right now.,strong
"In this situation, do you feel like you were the victim, blaming someone else for your negative emotions?",weak
Do you feel like you have to save some person?,no
Sounds reasonable to me. I would like to ask some questions to understand a bit more.,weak
Have you ever found yourself in a situation where you overwhelmed by any such emotion?,no
"Is blaming someone, even if it is yourself, always the way you think about negative situations?",weak
Did you feel or express any of the following emotions:,no
Is this something that happened before or just recently?,no
Are you used to seeing yourself as a victim in any negative situation you are in?,no
Do you always blame yourself when something unexpected happen? ,no
I do understand where you are coming from but was this caused by a specific event or events?,strong
How do you identify yourself in the situation? Do you feel like you are wronged by someone?,weak
"In previous conversations, have you tried considering different viewpoints?",no
Have you considered other viewpoints presented in previous conversations?,no
Do you feel it is someone's else's fault for what you are feeling right now?,weak
"If you are willing to share, are you going through difficulties in your personal life, such as relationship problems?",weak
Has there been a specific event affecting your feeling?,no
"When you are in a conversation, do you try to see things from other perspectives?",no
"Thank you for telling me this. With your willingness, I will ask some questions in order to better understand your current situation.",strong
Have you considered trying Protocol 6 to find out if you feel uncontrollable emotions from old situations?,weak
Do you always see yourself as the person that is wrong or to blame?,no
"In previous conversations, have you carefully considered other viewpoints presented?",no
"I'm glad you notified me, I'll follow with some questions.",weak
Do you feel that other people's side of the story matters?,weak
Perfect! Let me give you a protocol that can help further.,weak
"We can feel or express a lot of different, strong emotions towards other people. Did you strongly feel or express any of the following emotions towards someone:",strong
Was there someone who you had some difficult with handling?,no
Do you think you've been wronged by someone?,no
Are you feeling this way because of something specific?,no
Do you feel like you always have the short end of the stick because of someone else?,no
Have you recently tried to use protocol 6? Did you express any negative emotions because of it?,weak
Have you done protocol 6 and found it hard to deal with the emotions that arise after?,weak
Do you feel this way towards someone?,no
Has there been anything recent of distant that has caused you to feel this way?,weak
"In this situation, have you felt or expressed any of the following emotions towards someone?",no
"Thank you for sharing your situation with me. Now, i will ask you some questions to understand it better",strong
I sympathise with you in this feeling. Let me ask some more questions.,strong
I am sorry this happened. I hope you do not mind me asking questions to help better understand the situation.,strong
Do you feel like you are going through a personal crisis?,no
Do you believe that you can save someone for any given reason?,no
Did a specific event trigger this?,no
Do you see yourself being in an unjust position due to someone else's actions?,no
"Do you perhaps see yourself as a victim, blaming another person for feeling this way?",weak
Did this happen recently?,no
"I understand and what you are saying makes sense. In previous conversations, have you considered other viewpoints presented?",strong
"As the victim, do you see yourself putting the blame on someone else for how negative you feel?",weak
Have you felt or expressed any of the following emotions to someone?,no
Do you feel like you are in control of how others feel? And do you try to help others often?,weak
Do you consider that you need to look at issues from all angles?,no
Is there anyone that is to blame for you feeling this way?,no
Is there a part of you that feels as though you are trying to put your ideas on someone else?,weak
I'm sorry you're feeling this way. Can you tell me more about what happened?,strong
Do you think you are a person who controls others?,no
Could you perhaps be reacting that way in an attempt to control the situation?,weak
It's truly understandable why you feeling like this. Please feel free to answer a few questions.,strong
Do you feel like you're in the middle of an existential crisis?,no
Do you think life is unfair and you are the victim?,no
Do you strongly feel or have perhaps expressed the following emotions towards someone?,weak
Did you express or strongly felt any of these emotions? It woud be very helpful to know.,strong
Have you tried taking control of someone for you own amusement?,no
Do you feel that you're trying to control someone else in your life?,weak
Did something specific happen that made you feel this way?,no
Do you think how you feel is as a result of someone else's doing?,weak
Do you find that you always blame and accuse yourself when things goes wrong?,no
Do you believe it's fair to be someone's saviour?,no
I am sorry about that. Would you like to tell me more about what happened?,strong
Do you believe that you have a duty to save other people?,no
Have you felt or shared any of the following emotions towards another,no
Could this have been caused by a specific event?,no
Have you ever felt the need to save someone or make decisions for them?,no
Are you currently going through a personal crisis (difficulties with loved ones e.g. fighting with your boyfriend/girlfriend)?)? ,weak
Do u feel controlling?,no
Have you strongly experienced or expressed the following emotions towards someone else?,weak
Do you find that whenever something goes wrong you blame yourself?,no
In your opinion do you consider yourself to be a saviour for other people?,no
Have you felt these emotions strongly or expressed them towards someone,weak
"I'm glad to hear that, you deserve it.",weak
Do you feel or find yourself somehow trying to control someone?,weak
Did you try protocol 6 and did it bring any hard feelings up?,no
Are you currently finding difficulties among your personal life?,no
In hard situations do you tend to see someone else as responsible for your feelings?,weak
"Do you feel like everyone's needs should always come before yours, even when you are really overextending yourself to help?",weak
Do you feel like the solution to someone else's issues only up to you?,weak
"If something wrong happens, are you always feeling that you are responsible?",no
"I'm really sorry to hear that, let's see.",weak
Are you always so hard on yourself when something doesn't go according to plan?,no
"Just to be more specific, was this caused by a specific event?",no
Have you been feeling or expressing some of these emotions towards someone:,no
"Do you ever feel like you are hurt by someone, as a victim?",weak
Have you looked at situations from another point of view? ,no
Have you engaged with the information and viewpoints given to you in past communications?,no
Are you feeling like only you know what is going to solve someone else's problems?,no
"Have you recently tried the solutions Protocol 6 and if so, do you think that this resulted in you feeling worse?",weak
Would you agree that you are trying to be a saviour for someone?,weak
Was there a particular event that happened recently that would have triggered this? Or was it distant?,weak
Have you tried other viewpoints previously?,no
Do you believe that you should always be available when someone need you?,no
Is there somebody in your life that is causing you to feel any of the following emotions:,no
Do you always think you are the one to blame when things go wrong?,no
Have you recently attempted protocol 6 and felt that it reignited negative feelings?,weak
"I understand, is this feeling caused by a specific moment, either recently or long ago?",weak
Is it important to you that you be a saviour of someone else?,no
Thank you for letting me know. I would like to ask more questions in order to understand your situation.,weak
You think that you must be the savior of the people around you?,no
Are you experiencing some certain personal issues?,no
"I understand why you feel this, may I ask you some more questions so I can understand your situation?",strong
Was this situation caused by some specific events or not really?,no
"I am sorry to hear that. Now, I would like us to find out what could have caused that feeling..",strong
"I understand it can be difficult, and thank you for being open with me. Are you always blaming and accusing yourself for when something goes wrong?",strong
Are there any of the following emotions that you have felt strongly for someone or expressed:,no
Was there a specific event or events that triggered this?,no
Are you the type of person who will always blame themselves when something goes wrong?,no
"When something goes wrong, do you feel you are the one to blame?",no
Thank you; that's helpful to know. I'm going to ask some questions to get a better understanding of your situation.,strong
"Thank you sharing this with me. I want to know more about this, if that's okay with you.",strong
Do you think this was caused by a recent or distant event?,no
Thank you for letting me know. Now we will ask some questions to understand your situation much better before we can assist.,strong
Are you in a power play with another individual?,no
Do you ever feel like you have to save or rescue another person?,no
Is this correct for you: you believe that you should be the saviour of someone else?,no
Would you say that it is caused by a specific occurrence?,no
Do you think that someone else should see you as their saviour?,no
In this difficult situation that you're describing have you felt these emotions towards someone?,weak
"Do you feel it is always your fault even when it isn't, when something goes wrong?",weak
Do you see yourself as a controlling person?,no
"Based on previous conversations, do you consider other view points given?",no
I am sorry to hear this. Please let me ask some questions to understand your situation.,strong
Do you sometimes feel someone else is to blame for how you are currently feeling?,weak
I am glad you feel that way! Would you like to work on enhancing that feeling?,strong
Do you want people around you to always rely on you should something happen unexpectedly?,no
Have you perhaps tried protocol 6 and found this recently brought up emotion which could not be managed to be a result of past a past event?,weak
Did something bad happen?,no
"Thank you sharing this with me. I want to know more about this, if that's okay with you.",strong
Would you say you would feel better if you could control someone's behaviour?,weak
I understand your feelings. I will ask you to respond some questions in order to better understand how we can help you feel better.,strong
Would you be able to tell me whether a specific event may have caused your distress?,strong
Do you sometimes feel you are trying to control someone?,no
Did you attempt protocol 6 and discover any reignited unmanageable emotions from the past events?,weak
"Do you feel a strong urge to rescue someone else lately, alleviate their problems?",weak
Have you directed these negative feelings specifically towards someone in your life?,no
The event that caused you to feel this way did it happen a long time ago or is it a recent event?,weak
Do you believe you are the victim and do you blame someone else for your negative feelings?,no
"Do you think you may have displayed some controlling behaviours recently, even though perhaps they were out of character for you?",strong
Have you considered looking at the situation from different angles in the past when you've felt this way?,weak
Do you feel like some other person is responsible for the way you are feeling?,weak
I appreciate your openness and honesty. I would like to ask you some questions to further understand your feelings.,strong
That's wonderful! Let me recommend a protocol that can support your feeling.,strong
Do you feel that you want to always be in control of people?,no
Do you often feel the need to rescue others from their own problems?,weak
"In previous conversations, have you taken into considerations other suggestions that are presented to you?",weak
Do you feel like the its someone else who's at fault for your feelings?,no
"In conversations that you had before, did you ever try to see things from all the different points of views?",no
The event that took part were recent or distant?,no
Would you say you are trying to control someone in that past event?,weak
Would you say that it is caused by a specific occurrence?,no
Do you feel that you are trying to influence someone with your words or actions?,weak
Do you feel as though someone has been hurting you and victimising you in this situation?,weak
"Do you see yourself as a victim, blaming others for how you feel?",weak
Are you experiencing a bad time in your personal life?,no
Do you feel this way due to a recent or distant experience or event?,weak
That's Great! May I recommend a protocol for you?,weak
Do you always blame yourself for every little thing that goes wrong?,no
Do you always blame yourself when something goes wrong?,no
Do you consider yourself in charge of someone else?,no
"I understand this may bing difficult memories and emotions, and thank you for your understanding. Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?",strong
Do you always blame yourself and treat yourself negatively when something goes wrong?,no
"To understand the situation better, please, let me know if this was caused by a specific even.",weak
Do you think you feeling this way is a result of events that have happened to you?,weak
"In situations like these, do you wish you could control someone for your own benefit?",weak
Is the cause of your mood something that happened recently or not?,weak
Do you always beat yourself up and accuse yourself for when something goes wrong?,no
Is there a chance you may be attempting to control someone on this occasion?,weak
May you please share with me if you have felt these concerning feelings towards someone?,weak
I'm going to mention a few words. See which ones describe what you're feeling.,weak
Did you strongly feel or express any of the following emotions towards someone? ,no
Was it a specific event causing this?,no
Have you strongly felt or expressed any of the following emotions towards someone?,no
Do you feel that you are trying to influence someone with your words or actions?,weak
Do you remember if this was caused by a specific event/s ?,no
Are you currently facing a crisis?,no
Did you happen to express or strongly feel any of these emotions towards someone?,no
Have you considered the viewpoints of others in conversations? ,no
Can you please tell me do you see yourself as a victim? Did someone do things that you blame them about how do you feel now?,weak
Have you felt any of these emotions towards anyone recently?,no
"In previous interactions, did you find it easy to hear out other people's points of view that differed to yours?",weak
Have you felt these emotions strongly or expressed them towards someone,weak
Does it ever seem as if you're trying to shape somebody's life to what you want?,no
Did you try out protocol 6 and it was too much for you to deal with at the moment?,weak
Was there a particular event that happened recently that would have triggered this? Or was it distant?,weak
Did you ever feel any of the following emotions: ,no
"Great, thank you. I would like to ask you some questions to see if I can understand your problem. ",weak
Do you think that the way you feel bad now is because you are someone else's victim and that that person is responsible for it?,weak
Was the situation that put you in this state recent or distant? ,no
Thank you for opening up to me. I will ask you some questions to better understand how I can make you feel better.,strong
Could you tell me if you have strongly felt or expressed any of these emotions towards another person?,weak
Do you wish people can see or do things the way you do or see them?,no
Do you feel like you need to be in control of someone else in order to cope with your own feelings?,weak
Is there a personal crisis that makes you feel this way?,no
Have you ever felt any of the following emotions?,no
Have you had the feeling to control someone?,no
Do you tend to consider other peoples opinions / viewpoints to help structure how you feel?,weak
Have you previously taken time to listen to other points of view?,no
"Thank you. And would you say this feeling has been caused by a recent event, or was it a more distant one in your past?",strong
Do you think you are reaching breaking point in your personal life?,no
Do you consider yourself to be someone else's savior?,no
Do you feel this way to get control of someone?,no
I wonder if you always feel you should help others to sort out their problems.,weak
I appreciate your response. Please help me with the next question - do you believe that you should be the saviour of someone else?,strong
"I thank you for informing me about your situation, I will ask you some questions to understand you better.",weak
Do you feel like you are trying to dictate how someone else should live their lives?,no
Thank you. I am sorry about this. Now I am going to further assess your feelings by asking more questions.,strong
Did you strongly feel or express any of the following emotions towards someone? ,no
Do you believe that you have to be saviour of somebody else?,no
Are your feelings caused by an specific event?,no
"Would you consider yourself to be the victim, and believing that someone else is to blame for how you feel?",weak
"I am glad to hear it, that is such a lovely emotion to be feeling! I would like to recommend a protocol that could reinforce this positive feeling even more, if you agree.",strong
Have you tried protocol 6 and found it made you feel overwhelmed by your emotions?,weak
Does what happened relate to any recent or distant situation?,no
Have you tried using protocol 6 and found hard emotions to handle from something that happened in the past?,weak
Do you find you can't stop blaming yourself when something goes wrong?,no
"Thanks for telling me that, I want to understeand you better so I  will ask some questions.",weak
Have there been any events recent or distant that you think have caused this to happen?,weak
Do you feel that in an effort to sustain yourself you're trying to get others to behave a certain way?,weak
Was this situation caused by something that happened recently or distantly? ,weak
"When you've had conversations with other people, have you been able to see things from their viewpoint?",no
Do you always blame yourself and find fault with yourself for when something goes wrong?,no
Do you think it was someone's fault that made you feel this way?,no
"Do you feel a strong urge to rescue someone else lately, alleviate their problems?",weak
Is your problem because of something that happened recently or a more distant one?,weak
Do you find that you are always blaming yourself when something goes wrong?,no
Do you like to explore other suggestions given to you?,no
Has this happened lately?,no
"I appreciate your honest response. If you do not mind, I would like to ask you more questions to better comprehend your situation.",strong
Do you feel that saving the others is you responsibility?,weak
"Do you have a tendency to always blame yourself when something goes wrong, even if you could not do anything about it?",weak
Have you experienced loss or relationship breakdowns with loved ones recently?,no
We express ourselves differently to people. Have you ever felt these emotions towards someone?,strong
In past conversations did you consider other things presented?,no
Did you recently try protocol 6? Did trying this protocol awaken uncomfortable emotions? ,no
"When something goes wrong, do you always blame and accuse yourself for it? ",no
In this difficult situation that you're describing have you felt these emotions towards someone?,weak
Was there a particular event that would have caused this?,weak
"Okay thank you for answering, you are doing great, do you ever feel like you are trying to save someone?",weak
What emotional experiences have you gone through? Please select from the list below,weak
Do you feel that someone else is responsible for your negative emotions?,weak
Was this caused by something that happened recently or a while ago?,no
"In previous conversations, have you ever been open to different viewpoints than your own?",no
"Over the last weeks, have practiced protocol 6 and recalled emotions from a past event that you could not manage? ",weak
At the end of the day we are all human and life has ups and downs. Let me know a few things to help.,strong
"I understand, let me see what I can do to help you in this current situation.",weak
Have you attempted protocol 6 and found that it brought back emotions as a result of the old event(s)?,weak
"Thank you for sharing so far. Have you, in the near past, gave protocol 6 a try and discovered that it reignited emotions you couldn't manage as a result of distant events?",strong
Are you currently undergoing through a crisis in your life?,no
Thank you for informing me. I'll now ask you some questions to better understand your circumstance.,weak
Are you going through a personal crisis?,no
"If you're willing to share, was this something caused by a recent event, or something from the past?",strong
Did you feel any of these emotions strongly towards someone: ,no
Do you think someone is responsible for making you feel this way?,no
"Do you regard yourself as a victim, that is, do you blame others for the negative feelings you have? ",no
Did you experience any strong negative emotions as a result of attempting protocol 6?,weak
Did you have time to attempt protocol 6 and found that it brought up unmanageable negative emotions?,weak
Do you sometimes feel or express any of the following emotions towards someone:,no
May you please share with me if you have felt these concerning feelings towards someone?,weak
Do you want to help people without them asking?,no
Are you having issues with loved ones?,no
"Do you feel that you should be hard on yourself when things go wrong, by blaming and accusing yourself?",weak
"Thank you for telling me, I will ask you some questions to better understand your problem.",weak
Do you think you need to change someone's life or to save them?,no
"I'm sorry you feel this way, thank you for sharing this with me. If it is ok, I'd like to ask a few more questions to see how best to help you?",strong
Do you think what you told me was due to some specific event? ,no
I'm happy for you! Let me recommend a protocol you can attempt.,weak
Have you ever felt like you are controling someone ?,no
Do you always feel like as if you are trying to get control over someone?,no
Protocol 6 might be of great assistance to you. Have you tried it and found out negative emotions caused by old events? ,weak
"During conversations in the past, at some point have you changed your mind or point of view?",weak
Have you felt any of these emotions towards anyone recently?,no
Have you strongly felt the following towards someone?,no
Do you have the urge to always save someone or feel like its saviour?,no
Do you think you have felt like this towards another person?,no
"If you were to describe your feelings that led you here, have they been building up for a long time, or did a particular situation suddenly make them occupy most of your attention?",strong
Do you take into account the feelings and points of view of others?,no
Have you had any strong feelings or expression on any of the following emotions towards someone:,no
Is what you are experiencing related to your social or family circle?,no
Do you see yourself as someone who puts the blame on someone else because of how you feel?,weak
How do you feel after trying protocol 6? Does it let you rethink about old events and come to unmanageable emotions?,weak
Would you consider this to be a recent or distant event (events)?,no
Are you currently going through a tough time in your personal life? ,no
"Do you usually think that you are the victim, and blame someone else for your negative feelings?",no
Did you try protocol 6 and end up feeling worse?,no
Are you currently going through something difficult in your life at the moment?,no
Did you try to apply the protocol 6 and did it make you feel worse emotions from past events?,weak
"Have you considered, in other conversations, touching on other points of view presented?",weak
Do you think it is your responsibility to save other people?,no
That is wonderful news. Have a look at a protocol you can attempt.,no
And was this event recent or something that happened in the past? ,no
Did anything bad happen with between you and someone you are close with recently?,no
Do you often blame yourself and accuse yourself when something goes unpredicted?,no
Was there an event/s recently or in the past that makes you feel like this?,no
Do you believe this was caused by a recent or distant event?,no
When things go wrong do you think that you are to blame?,no
"Do you ever fantasise about saving someone else, rescuing them from all the problems in their life?",no
"Thanks for being honest. I will ask some more questions about this, if you are okay with that.",strong
"In previous conversations, have you tried to understand the problem from other sides, such as the perspective of another person, or even someone completely neutral and a stranger to you?",weak
"In your opinion, is there a person that specifically hurt you and is he or she to blame for what you are currently feeling?",weak
Did specific events cause this?,no
Thanks for sharing your feelings with me. Have you considered any other point of view?,weak
Are there any possible events in you life that could have been possibly caused this?,weak
Do you want to be saviour for someone?,no
Do you feel that you have tried to control the actions of someone else? ,weak
Are you under the belief that you should be the saviour of someone else?,no
"When something goes not the way you planned or wanted it to go, do you usually tend to blame and accuse yourself of it?",weak
Do you think that you need the gratification of being someone's savior? ,no
Was there a specific event that triggered your feelings or was it distant?,weak
"In other chats, have you ever taken into consideration points presented to you?",no
Do you think you need to change someone for their own sake?,no
Was this caused by any specific event?,no
Do you think someone is responsible for making you feel this way?,no
Do you experience a hard time in your personal life and relationships?,weak
Do you sometimes want people to do whatever you ask whenever you ask them? Do you have a certain person like that in your life?,no
Are you struggling with anything in your personal life that I could help you with at the minute?,weak
Is there a specific event that comes to mind?,no
Have you seen the events from our previous conversations from another perspective?,no
Is there something particular that caused this?,no
"Do you think you may have displayed some controlling behaviours recently, even though perhaps they were out of character for you?",strong
Do you always blame yourself for things going wrong when they do go wrong?,no
"Ok, let's try to help you. Can I ask you if something happened that caused your emotion?",weak
I wonder if you could help me understand if there was something specific causing this. ,weak
Was this the results of a recent or distant event (or events)?,no
Is the way you feel right now due to the specific situation?,no
Are you going through a particularly rough patch right now? Is there anything that feels more painful than usual?,weak
"When you talk with other people, do you consider a variety of opinions and outlooks?",no
Have you considered or have you already expressed any of the following emotions towards someone?,no
I can understand. Is this feeling connected to a specific situation or event?,strong
Was this caused because of an specific event?,no
"In previous conversations, have you tried to look at your problem from the perspective of this particular person we are here through, or a stranger who just saw the situation?",strong
I understand your feeling and it's okay to feel that way! Can I recommend you a protocol that you can try.,strong
Have you felt or expressed any of the following emotions towards someone :,no
May I ask if you have tried protocol 6 in the past few days? Did it bring back any bad feelings for you?,weak
Any feelings of trying to control someone?,no
Do you think you are always putting blame on and accusing yourself when things don't go as planned?,weak
"Thank you for letting me know, now I'm going to ask you some questions to understand your situation better. ",weak
Do you feel the need to be the saviour or the hero towards someone else?,no
Do you believe that you may be the saviour of someone else?,no
Have you felt that your actions or words have caused another person to change the way they are?,weak
Do you often like to control over things?,no
"Did you think you are trying to persuade someone to do something you want, thinking that is the best for them?",weak
I understand how you feel. Maybe we can find out where these emotions stem from.,strong
Did something specific happen? ,no
Do you believe that people need saving and that you should be the one to do that?,no
Do you feel like you're trying to control other people's choices to make your life easy?,weak
"Wow, that is very interesting. I can suggest a protocol you would really enjoy. ",weak
Does this make you feel responsible for making someone to not feel bad and feel good instead?,weak
Was there a recent or distant event (or events) that prompted this?,no
Do you think that someone else should see you as their saviour?,no
Was this caused by a recent event or a distant one?,no
Do you feel that you are always expected to save someone?,weak
"In your opinion, is there a specific even causing this?",weak
Have you expressed these strong emotions to anyone?,no
Do you know if this was caused by a specific event?,no
"Do you feel like the victim, in the sense that someone else made you feel the way you do?",weak
Would you say that your actions were influenced by a specific event?,weak
Have you ever felt that when something goes wrong you always blame yourself?,no
Has this triggered these negative emotions towards someone?,no
Do you think that the way you feel is a result of a specific event/s?,weak
"Thank you for letting me know, are you comfortable to talk more about that so I can fully understand what you're feeling?",strong
Do you feel like you are happy most when in control of others?,no
Is there any specific event that caused this?,no
"In previous conversations, have you ever been open to different viewpoints than your own?",no
Do you feel you need to blame someone else and be the victim?,no
Have you shared any of these feelings with anyone?,no
Do you feel that you have tried to control the actions of someone else? ,weak
Do you have a tendency of helping other more than you help yourself?,no
Has applying Protocol 6 brought back any negative emotions?,no
Did you relate to any other viewpoints presented in previous conversations?,no
Are you willing to be someone else's saviour?,no
Do you always feel like you're at fault when something bad happens?,no
"Are you currently going through some personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?""",weak
Do you believe this was caused by a specific event?,no
Have you ever felt like sharing or have already expressed any of the following emotions towards someone?,no
"Have you been feeling any of the following emotions strongly, or expressed one of them to another person?",weak
Do you think you are always to blame for things not going right? ,no
Do you usually blame yourself when something goes wrong?,no
Very interesting. I would like to recommend a protocol that could enhance this experience.,weak
"Have you had to attempt protocol six recently, and did you find this triggering to your emotions due to events that happened in the past?",weak
It would be great to learn if you have expressed these following strong emotions towards someone recently:,weak
Was that one because of something specific?,no
Is there somebody making you feel this way? Do you feel a victim of that person?,no
"I know this may be a difficult time for you, have you felt or re-enacted any of these emotions towards anyone",strong
"Okay, now I would like to know if you've attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?",weak
Do you feel like you were trying to control someone and how they feel?,weak
Are you trying to control someone?,no
Are you always critisizing yourself when things go wrong? ,no
"I think protocol 6 would be really helpful, have you tried it? Tt can reignite tricky emotions from past events. Has it done that to you?",strong
Can I know is this caused by a recent or distant event?,no
I know this is hard but can you attribute this feeling to a specific event?,weak
Did this happen because of a specific event?,no
Do you always see yourself as inadequate when things dont turn out the way you expect?,no
Do you believe that a specific event caused all this? ,no
Are you always blaming yourself when something goes wrong?,no
Do you feel the constant need to save someone?,no
"Thank you for explaining all of this to me, would you mind if I asked you some questions to make sure I completely understand.",strong
Why do you think you are in this situation? Do you think it's someone else's fault?,no
Is there a specific event that caused the situation? ,no
Was that event recent or decent?,no
Is all of this influenced by some specific event?,no
Do you have a tendency of helping other more than you help yourself?,no
Was it a recent or distant event (or events)?,no
"Sometimes even the things meant to help us can hurt us. If you completed Protocol 6 recently, did it bring up bad feelings that you're struggling to manage?",strong
May I ask if you are experiencing some crisis with your loved ones?,weak
"When you talk to different people, do you listen to what they have to say?",no
Have you tapped in or communicated these particular feelings to anyone?,no
Are you going through personal issues and hardships?,no
Was this because of something recent or distant?,no
Is this struggle recent or brought on by an event from your past?,weak
Is there a recent or distant event that caused you to feel this way? ,no
I understand. Was the feeling caused by a specific event?,weak
"If you are willing to share your thoughts, do you believe that you should be the saviour of someone else?",weak
Do you think it is anyone's fault that you feel the way you do?,no
"When you feel hurt, do you look at the situation from perspective or do you just blame yourself?",strong
I wonder if how you feel is caused by some recent or distant situation?,weak
Do you blame others for how you feel and feel like you are being victimised?,no
Is this feeling due to any specific event?,no
"Do you feel particularly challenged right now, are you having serious interpersonal problems with your loved ones?",weak
Have you considered the other viewpoints presented in previous conversations?,no
I appreciate your openness and honesty. I would like to ask you some questions to further understand your feelings.,strong
"Thank you for your response. Now, I will ask some questions to understand your situation much better.",weak
Did you recently try protocol 6 and feel a reignited unmanageable emotion from this past event?,weak
Have you recently done protocol 6 and found yourself overwhelmed with emotions arising from past events?,weak
Have you ever imagined you are tha saviour of someone else?,no
"How do you feel about saving others, does it affect your mood positively?",weak
Do you identify the following emotions as part of the emotional repertoire you have felt or expressed towards someone?:,weak
"Do you have any personal crisis, such as experiencing difficulties with friends and loved ones, at the moment?",weak
I am glad to hear that! Please let me recommend you a protocol!,weak
I appreciate you opening up to me. I do however need to dig further into what you just shared with me so I can have a clearer picture of your situation.,strong
"In conversations you've had before, did you feel like other views are to be considered?",weak
It is good that you have provided me with information about your personal life. Now I will ask some questions.,strong
I am sorry you feeling this way but I will try and ask more questions to understand your situation much better.,strong
Have you tried to consider other viewpoints?,no
Was this caused by something that happened recently or distantly?,no
Does it have something to do with something that happened recently or long ago?,weak
Is there something that has happened that might be the cause of this issue?,weak
Thank you for your information. Now I would like to know if you've considered other viewpoints presented in previous conversations? ,strong
Are you currently facing any challenges in your relationships (experiencing strain in relationship with your loved ones e.g. having a fight with friends that led to a falling out)?,weak
Pleas let me know if this was caused because of an event?,weak
Is the way you are feeling at this point caused by some particular event/s?,weak
Have you felt any of the following emotions?,no
Do you feel you have to save someone?,no
"Before today, have you considered viewpoints outside your own?",no
Do you find the time to consider others' viewpoints in your conversations?,no
"You are doing an amazing job, we are almost done. Let me ask you, have you ever strongly expressed any of the following emotions towards someone...",strong
"Do not worry if you do, but do you ever blame someone else for your negative feelings? ",no
Do you feel the need or existence of control over someone?,no
Have you considered other opinions in the conversations you have had?,no
Was this the result of a specific event or events? ,no
"Do you, at times, see yourself as a victim and sometimes blame other people for how you feel?",weak
"In previous discussions, have you thought about other viewpoints?",no
Does it go through your mind that you should be the saviour of someone else?,no
Have you in any way strongly felt or expressed any of the following emotions towards someone:,no
Has something happened recently to make you feel this way or was that in the past?,weak
"Now, I would like to know if you have recently attempted protocol 6 and if you have negative emotions reignited as a result of past events?",weak
"In your past or present, do you feel like you want to control someone's life?",weak
Let's hone in on this situation and see whether a specific event caused this feeling?,weak
"Recently, have you felt these strong emotions and took them out on someone? ",weak
"Do you consider yourself an open-minded person, do you always listen to others no matter what?",no
"In previous conversations, have you been able to consider your situation from other viewpoints that have been presented?",weak
have you recently tried protocol 6 and found that it brought back emotions beyond your control as a result of old events?,weak
"Please let me know, have you felt any of the following feelings in a strong manner or expressed them to someone else:",weak
"Do you think you're trying to influence someone, even without realizing?",weak
"I'm going to name a few emotions and I need you to tell me which ones do you feel, identify with and have expressed towards yourself or anyone else:",strong
Have you recently tried protocol 6 and if so did you feel safe enough to finish it?,weak
"If something goes wrong, do you always blame yourself for the mistake?",no
Now please tell me this was caused by a recent or maybe distant event?,weak
In this situation do you feel that someone is taking advantage and blaming them for the situation?,weak
"You are doing great so far. Now, please tell me, Was this caused by a specific event/s?",strong
Do you ever feel like you're trying to manipulate someone?,no
Was this caused by a recent or distant event (or events)that happened in your life?,no
"These feelings do pop up and is normal,have you struggled with something like this before or is it recent?",strong
Do you always feel guilty when something goes wrong?,no
"I understand your situation, and could you please tell me more about this?",strong
Is there a crisis taking place in your life right now?,no
It's acceptable to feel like a victim sometimes. Do you feel that you're a victim in your situation right now?,weak
Do you think this event was recent or in the far past?,no
Was this because of a recent event or past event?,no
Did you recently try protocol 6 and feel a reignited unmanageable emotion from a past event?,weak
Have you considered other viewpoints presented in previous conversations?,no
Were you triggered by events that were recent or in the past?,no
"Do you regard yourself as the victim, blaming others for your dismal mood?",weak
Have you recently had a personal crisis? ,no
Would you consider yourself as a person who is trying to control someone?,weak
Are you always so hard on yourself when something doesn't go according to plan?,no
Do you believe you are the one that should be saving others?,no
Do you feel that in one way or another you have expressed any of the following emotions towards someone?,weak
"Okay, now I would like to know if you've attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?",weak
Has protocol 6 affected how you feel by reigniting negative emotions from past events?,weak
Have you attempted protocol 6 and thought about an event from the past that made you feel for the worse?,weak
Can you remember anything specific that could have triggered this feeling?,weak
Are you often controlling people around you?,no
Have you recently revisited any past events that could have been traumatic for you. It is possible that that past event could have rekindled emotions that is difficult to control?,strong
Are you going through a difficult time at the moment such as having problems with loved ones or falling out with friends?,weak
Did you recently try protocol 6? Did trying this protocol awaken uncomfortable emotions? ,no
Have you considered other viewpoints presented in previous conversations?,no
Was this caused by any particular event?,no
Was this caused by something in particular?,no
Do you feel that you like to be in charge of others?,no
Can you let me know if this feelings are caused by a specific situacion that happened to you?,weak
Are you controlling someone by doing that or do you wish to control them?,no
Do you believe someone else is the reason you feel this way and find yourself to be the victim?,no
Do you always or almost always find the self-blaming as part of your emotional repertoire?,weak
We can feel extreme feelings at times. Have you recently felt any of the following:,strong
Thank you for sharing your feelings. Now I'll make some questions so I can understand the situation you're going through.,strong
Are you experiencing this due to a recent event?,no
Do you feel the need to protect and save someone else?,no
Would you say you are responsible for someone's happiness?,no
Are you in a bad place right now mentally?,no
Thank you for sharing your feelings. We will now ask you some questions in order to best help you.,strong
